,Var base,Var specific,DirectMEonY2,uxForY1,MEonY1,uY1ForY2,MEofY1onY2,IndirectMEonY2,TotalMEonY2
BikeAgeGrp@1,0,1,0.0012526944587036293,0.21079650359601937,-0.005603425249970151,0.5961701934405275,0.0005971875693096818,-0.0032180563595075873,-0.001965361900803958
BikeAgeGrp@2,0,2,0.0012013867548132384,0.21079650359601937,-0.008657585879125379,0.5961701934405275,0.0005971875693096818,-0.00504067979935191,-0.003839293044538672
BikeAgeGrp@5,0,5,0.003140834801913517,0.21079650359601937,-0.00966733267187811,0.5961701934405275,0.0005971875693096818,-0.0056432637483460335,-0.0025024289464325167
BikeAgeGrp@4,0,4,0.002841276961825373,0.21079650359601937,-0.00966733267187811,0.5961701934405275,0.0005971875693096818,-0.0056432637483460335,-0.0028019867865206605
BikeAgeGrp@3,0,3,0.002549276776823095,0.21079650359601937,-0.00966733267187811,0.5961701934405275,0.0005971875693096818,-0.0056432637483460335,-0.0030939869715229384
BikeAgeGrp@6,0,6,0.0035378891308670835,0.21079650359601937,-0.00766112016854037,0.5961701934405275,0.0005971875693096818,-0.004446021566979985,-0.0009081324361129017
BikeAgeGrp@7,0,7,0.004895903389683681,0.21079650359601937,-0.006373460376994711,0.5961701934405275,0.0005971875693096818,-0.003677588205547616,0.001218315184136065
BikeSex@Male,Female,Male,-0.0012228723155340848,0.20385912091444555,-0.0009190922710443361,0.5961701934405275,0.0005971875693096818,-0.0004267421545969957,-0.0016496144701310805
BikeSex@Unknown,Female,Unknown,-0.053756056531539836,0.20385912091444555,0.010889378525240884,0.5961701934405275,0.0005971875693096818,0.006620168036233276,-0.04713588849530656
BikeAlcFlg@Yes,No,Yes,0.001547931391222418,0.20298459814919526,0.0016206574766997883,0.5961701934405275,0.0005971875693096818,0.0010883753966601656,0.0026363067878825835
BikeAlcFlg@Missing info,No,Missing info,0.002305010556787973,0.20298459814919526,0.001301624605376639,0.5961701934405275,0.0005971875693096818,0.0008979869855846034,0.0032029975423725765
BikePos@Travel Lane,Sidewalk,Travel Lane,0.0020693797024096683,0.2043131156338042,-0.0017849903932734001,0.5961701934405275,0.0005971875693096818,-0.000943210789218038,0.0011261689131916303
BikePos@Other,Sidewalk,Other,0.0008508727756503798,0.2043131156338042,0.000958984305513888,0.5961701934405275,0.0005971875693096818,0.0006943038053345008,0.0015451765809848805
BikePos@Bike Lane,Sidewalk,Bike Lane,0.0015574370952930183,0.2043131156338042,-0.008181424687190325,0.5961701934405275,0.0005971875693096818,-0.004760394130600351,-0.0032029570353073328
BikePos@Driveway,Sidewalk,Driveway,0.0002721263460390422,0.2043131156338042,0.022503031518601696,0.5961701934405275,0.0005971875693096818,0.013551088437041184,0.013823214783080226
DrvrAgeGrp@1,0,1,-0.0007029837238994308,0.20241907112259552,0.0003590868967813521,0.5961701934405275,0.0005971875693096818,0.00033517350001278923,-0.00036781022388664153
DrvrAgeGrp@2,0,2,-0.001353657712479639,0.20241907112259552,0.0005291880913568525,0.5961701934405275,0.0005971875693096818,0.00043668434440626014,-0.0009169733680733788
