,Var base,Var specific,DirectMEonY2,uxForY1,MEonY1,uY1ForY2,MEofY1onY2,IndirectMEonY2,TotalMEonY2
BikeAgeGrp@1,0,1,-0.01661787208075123,0.40342269724220564,-0.14504017612690584,0.5334256457320645,0.021246664213495907,-0.07187838294281385,-0.08849625502356508
BikeAgeGrp@2,0,2,-0.047276242043233316,0.40342269724220564,-0.24575234036666602,0.5334256457320645,0.021246664213495907,-0.1277406317212983,-0.17501687376453162
BikeAgeGrp@5,0,5,-0.017863513602998565,0.40342269724220564,-0.24980144351092304,0.5334256457320645,0.021246664213495907,-0.12998655711553114,-0.1478500707185297
BikeAgeGrp@4,0,4,-0.023288882294070473,0.40342269724220564,-0.265806325829511,0.5334256457320645,0.021246664213495907,-0.13886402216158922,-0.1621529044556597
BikeAgeGrp@3,0,3,-0.025279868002253944,0.40342269724220564,-0.2553640175260971,0.5334256457320645,0.021246664213495907,-0.1330719628937709,-0.15835183089602484
BikeAgeGrp@6,0,6,-0.000178124707702218,0.40342269724220564,-0.24727990729046784,0.5334256457320645,0.021246664213495907,-0.12858793079551986,-0.12876605550322207
BikeAgeGrp@7,0,7,0.005186715974011422,0.40342269724220564,-0.26657606537671474,0.5334256457320645,0.021246664213495907,-0.13929097537429314,-0.1341042594002817
BikeSex@Male,Female,Male,0.0057095261251700336,0.18850448032080058,0.0012229700582163383,0.5334256457320645,0.021246664213495907,0.004683439023300706,0.01039296514847074
BikeSex@Unknown,Female,Unknown,-0.23718399217141922,0.18850448032080058,-0.009045879493051162,0.5334256457320645,0.021246664213495907,-0.0010124074777842634,-0.23819639964920347
BikeAlcFlg@Yes,No,Yes,0.04367158006890828,0.18807390554137804,0.025159678277081154,0.5334256457320645,0.021246664213495907,0.017951319985794134,0.06162290005470242
BikeAlcFlg@Missing info,No,Missing info,0.018121814327955385,0.18807390554137804,0.005667865228488639,0.5334256457320645,0.021246664213495907,0.007139751017104304,0.02526156534505969
BikePos@Travel Lane,Sidewalk,Travel Lane,0.0811178423557179,0.2019459464488107,-0.033126259303366185,0.5334256457320645,0.021246664213495907,-0.014083541054179236,0.06703430130153866
BikePos@Other,Sidewalk,Other,-0.031037867917767907,0.2019459464488107,0.15543611688024006,0.5334256457320645,0.021246664213495907,0.09050678771240535,0.05946891979463744
BikePos@Bike Lane,Sidewalk,Bike Lane,0.024018429268969653,0.2019459464488107,-0.12709064539611747,0.5334256457320645,0.021246664213495907,-0.06620298414086209,-0.04218455487189244
BikePos@Driveway,Sidewalk,Driveway,0.08246712127819583,0.2019459464488107,0.4792781574538516,0.5334256457320645,0.021246664213495907,0.27013300041485433,0.35260012169305016
DrvrAgeGrp@1,0,1,-0.006765483218977256,0.1869027652037486,-0.0011355322808822566,0.5334256457320645,0.021246664213495907,0.003341211979603201,-0.003424271239374055
DrvrAgeGrp@2,0,2,0.001385117694397281,0.1869027652037486,0.014157765575518538,0.5334256457320645,0.021246664213495907,0.011823980828298511,0.013209098522695792
DrvrAgeGrp@3,0,3,-0.006671969822636639,0.1869027652037486,-0.01344167617001027,0.5334256457320645,0.021246664213495907,-0.00348466527790188,-0.01015663510053852
DrvrAgeGrp@4,0,4,-0.034652959878036106,0.1869027652037486,0.012834396403082232,0.5334256457320645,0.021246664213495907,0.01108994459251253,-0.023563015285523577
DrvrAgeGrp@5,0,5,-0.03133724312962906,0.1869027652037486,0.0063667969577685946,0.5334256457320645,0.021246664213495907,0.007502546268377777,-0.02383469686125128
DrvrAgeGrp@6,0,6,-0.019699423678158398,0.1869027652037486,-0.0006994198410514574,0.5334256457320645,0.021246664213495907,0.0035831114740001446,-0.016116312204158253
DrvrSex@Male,Female,Male,0.03346804697144558,0.1964408041190754,-0.01315268147252005,0.5334256457320645,0.021246664213495907,-0.003121716411393763,0.030346330560051815
DrvrSex@Unknown,Female,Unknown,0.10629612251406113,0.1964408041190754,0.07490990000731215,0.5334256457320645,0.021246664213495907,0.04572415907779388,0.15202028159185502
DrvrAlcFlg@Yes,No,Yes,0.08930168609101273,0.19019020523300037,-0.022443894377957796,0.5334256457320645,0.021246664213495907,-0.008408099311514608,0.08089358677949812
DrvrAlcFlg@Missing info,No,Missing info,-0.023276582506091117,0.19019020523300037,-0.029884651623490605,0.5334256457320645,0.021246664213495907,-0.012535281320638456,-0.03581186382672957
SpeedLimit@2,0,2,0.07608788184177563,0.15251471615423198,0.04781119848084078,0.5334256457320645,0.021246664213495907,0.02975997686437923,0.10584785870615486
SpeedLimit@3,0,3,0.1378334399352703,0.15251471615423198,0.024773675408160334,0.5334256457320645,0.021246664213495907,0.01698170072623141,0.1548151406615017
SpeedLimit@1,0,1,0.08199044895584602,0.15251471615423198,0.04612378499729208,0.5334256457320645,0.021246664213495907,0.028824015329625988,0.11081446428547201
SpeedLimit@4,0,4,0.19708241866730447,0.15251471615423198,0.033609382278507016,0.5334256457320645,0.021246664213495907,0.02188262266600846,0.21896504133331293
SpeedLimit@5,0,5,0.10623875601971161,0.15251471615423198,0.057684278110746584,0.5334256457320645,0.021246664213495907,0.03523630074897553,0.14147505676868716
DrvrVehTyp@SUV,Passenger car,SUV,0.00270933481861213,0.1905699498412253,-0.004307820843645838,0.5334256457320645,0.021246664213495907,0.0016595467952825876,0.004368881613894718
DrvrVehTyp@Pick up,Passenger car,Pick up,0.035955434587112506,0.1905699498412253,-0.005056967706476151,0.5334256457320645,0.021246664213495907,0.001244015774388027,0.03719945036150053
DrvrVehTyp@Van,Passenger car,Van,0.03651367287158308,0.1905699498412253,0.028518669239431332,0.5334256457320645,0.021246664213495907,0.01986749187706803,0.05638116474865111
DrvrVehTyp@Truck or bus,Passenger car,Truck or bus,0.0012423232672888612,0.1905699498412253,-0.018076537097615086,0.5334256457320645,0.021246664213495907,-0.005977578854291524,-0.0047352555870026625
DrvrVehTyp@Other/unknown,Passenger car,Other/unknown,-0.02060905496395546,0.1905699498412253,-0.020941778223395352,0.5334256457320645,0.021246664213495907,-0.007566848768079074,-0.028175903732034532
BikeDir@With Traffic,Facing Traffic,With Traffic,0.08643838126877423,0.2055975151652705,-0.09320170995937573,0.5334256457320645,0.021246664213495907,-0.04732814638619745,0.03911023488257678
BikeDir@Other or unknown,Facing Traffic,Other or unknown,0.017804267687739392,0.2055975151652705,0.415659960231048,0.5334256457320645,0.021246664213495907,0.23492333166108076,0.25272759934882016
CrashLoc@Non-Intersection,Intersection,Non-Intersection,0.048209757994914955,0.19396546513127993,-0.0003243991596557916,0.5334256457320645,0.021246664213495907,0.003941183875428161,0.052150941870343116
CrashLoc@Intersection-Related,Intersection,Intersection-Related,-0.009670881176592552,0.19396546513127993,-0.037444388771944614,0.5334256457320645,0.021246664213495907,-0.01664824650797528,-0.02631912768456783
CrashLoc@Unknown Location,Intersection,Unknown Location,0.09303823928011612,0.19396546513127993,-0.05251199639142448,0.5334256457320645,0.021246664213495907,-0.025005831231625503,0.06803240804849062
Developmen@Commercial,Other,Commercial,-0.0719482207092376,0.18472963518746724,-0.012507277795601901,0.5334256457320645,0.021246664213495907,-0.003012552136907612,-0.07496077284614522
Developmen@Residential,Other,Residential,0.027183971984924324,0.18472963518746724,0.029892297110048677,0.5334256457320645,0.021246664213495907,0.020505318016719412,0.047689290001643736
LightCond@Dark - Lighted Roadway,Daylight,Dark - Lighted Roadway,0.0028845635878330667,0.19221607511198188,0.006459728483649535,0.5334256457320645,0.021246664213495907,0.007666982923987389,0.010551546511820456
LightCond@Dark - Roadway Not Lighted,Daylight,Dark - Roadway Not Lighted,0.06502287121327216,0.19221607511198188,-0.03530970208952358,0.5334256457320645,0.021246664213495907,-0.015501363617145256,0.049521507596126904
