,Var base,Var specific,DirectMEonY2,uxForY1,MEonY1,uY1ForY2,MEofY1onY2,IndirectMEonY2,TotalMEonY2
BikeAgeGrp@1,0,1,0.020468110204314036,0.2939126948009446,-0.0326323558857014,0.5323695707428717,0.03028334955816591,-0.009460029459153113,0.011008080745160922
BikeAgeGrp@2,0,2,0.030966701537116142,0.2939126948009446,-0.06827892170059177,0.5323695707428717,0.03028334955816591,-0.029516673813604316,0.0014500277235118264
BikeAgeGrp@5,0,5,0.04397459556464347,0.2939126948009446,-0.15549369589433226,0.5323695707428717,0.03028334955816591,-0.07858832120710797,-0.0346137256424645
BikeAgeGrp@4,0,4,0.040042903593706956,0.2939126948009446,-0.1302804376633501,0.5323695707428717,0.03028334955816591,-0.06440200783314168,-0.02435910423943472
BikeAgeGrp@3,0,3,0.03632828025384312,0.2939126948009446,-0.10121662117381969,0.5323695707428717,0.03028334955816591,-0.04804916661021394,-0.011720886356370822
BikeAgeGrp@6,0,6,0.04804668039454677,0.2939126948009446,-0.17785856664249344,0.5323695707428717,0.03028334955816591,-0.09117198104571611,-0.04312530065116934
BikeAgeGrp@7,0,7,0.0524643915430288,0.2939126948009446,-0.196497046710701,0.5323695707428717,0.03028334955816591,-0.10165897628606578,-0.04919458474303698
BikeSex@Male,Female,Male,-0.029839983382100834,0.18898295262579323,0.019740563678483508,0.5323695707428717,0.03028334955816591,0.016830122616988547,-0.013009860765112288
BikeSex@Unknown,Female,Unknown,-0.47176672935152836,0.18898295262579323,-0.007499639192126678,0.5323695707428717,0.03028334955816591,0.0015033429222470196,-0.47026338642928134
BikeAlcFlg@Yes,No,Yes,0.06197166444751995,0.1986846427732657,0.10470220967010013,0.5323695707428717,0.03028334955816591,0.0649278405217955,0.12689950496931546
BikeAlcFlg@Missing info,No,Missing info,0.06645029897536578,0.1986846427732657,0.01972563557936366,0.5323695707428717,0.03028334955816591,0.017115522952465143,0.08356582192783092
BikePos@Travel Lane,Sidewalk,Travel Lane,0.08554081285687568,0.16470196729969575,0.044492804252256574,0.5323695707428717,0.03028334955816591,0.03002173349356889,0.11556254635044456
BikePos@Other,Sidewalk,Other,0.017253532692712886,0.16470196729969575,0.07445186450493682,0.5323695707428717,0.03028334955816591,0.04687828623421418,0.06413181892692707
BikePos@Bike Lane,Sidewalk,Bike Lane,0.07712190468662014,0.16470196729969575,-0.01688996117478045,0.5323695707428717,0.03028334955816591,-0.004515458730107058,0.07260644595651308
BikePos@Driveway,Sidewalk,Driveway,0.11493383576314384,0.16470196729969575,0.39208879456369883,0.5323695707428717,0.03028334955816591,0.22559763252723308,0.34053146829037695
DrvrAgeGrp@1,0,1,-0.009041126308758404,0.2027336463681284,0.0010293535778403695,0.5323695707428717,0.03028334955816591,0.006718622676761821,-0.0023225036319965836
DrvrAgeGrp@2,0,2,-0.017778378740082947,0.2027336463681284,0.002018848039828186,0.5323695707428717,0.03028334955816591,0.007275364625420971,-0.010503014114661976
DrvrAgeGrp@3,0,3,-0.026893832458424836,0.2027336463681284,0.002955987934575549,0.5323695707428717,0.03028334955816591,0.0078026491239311935,-0.019091183334493642
DrvrAgeGrp@4,0,4,-0.0382097972963205,0.2027336463681284,0.0038893443405175476,0.5323695707428717,0.03028334955816591,0.008327804831416138,-0.02988199246490436
DrvrAgeGrp@5,0,5,-0.04929228369202483,0.2027336463681284,0.004801543493372057,0.5323695707428717,0.03028334955816591,0.00884105634866586,-0.04045122734335897
DrvrAgeGrp@6,0,6,-0.06065006138955426,0.2027336463681284,0.005740688981371395,0.5323695707428717,0.03028334955816591,0.009369469300076233,-0.05128059208947803
DrvrSex@Male,Female,Male,0.02313653658163938,0.21176569640122134,-0.01220342488241477,0.5323695707428717,0.03028334955816591,-0.0004533180392184005,0.02268321854242098
DrvrSex@Unknown,Female,Unknown,0.015941283208777884,0.21176569640122134,0.1346045024614817,0.5323695707428717,0.03028334955816591,0.08214859100416752,0.0980898742129454
DrvrAlcFlg@Yes,No,Yes,0.08317350305593652,0.20765186279288655,-0.07392673200392466,0.5323695707428717,0.03028334955816591,-0.03530669770295909,0.04786680535297742
DrvrAlcFlg@Missing info,No,Missing info,-0.00047423897835686957,0.20765186279288655,-0.0310934854517681,0.5323695707428717,0.03028334955816591,-0.011206446444413848,-0.011680685422770717
SpeedLimit@2,0,2,0.062084274840449066,0.17837837315543476,0.029057595349488236,0.5323695707428717,0.03028334955816591,0.021751235508198408,0.08383551034864747
SpeedLimit@3,0,3,0.08960318108167413,0.17837837315543476,0.041010717339452885,0.5323695707428717,0.03028334955816591,0.028476694502566555,0.11807987558424068
SpeedLimit@1,0,1,0.033668682855200666,0.17837837315543476,0.015288299612099154,0.5323695707428717,0.03028334955816591,0.014003901051067802,0.04767258390626847
SpeedLimit@4,0,4,0.11941320768378272,0.17837837315543476,0.04902367146769432,0.5323695707428717,0.03028334955816591,0.032985206543059864,0.15239841422684258
SpeedLimit@5,0,5,0.15092600763670316,0.17837837315543476,0.045719578058814936,0.5323695707428717,0.03028334955816591,0.03112614873760647,0.18205215637430963
DrvrVehTyp@SUV,Passenger car,SUV,0.041115832317623606,0.20804264751189483,-0.018180995744815825,0.5323695707428717,0.03028334955816591,-0.00392936213219236,0.037186470185431246
DrvrVehTyp@Pick up,Passenger car,Pick up,0.027619310478926413,0.20804264751189483,-0.004532387161729157,0.5323695707428717,0.03028334955816591,0.0037500673451271727,0.031369377824053586
DrvrVehTyp@Van,Passenger car,Van,0.052767423334882636,0.20804264751189483,0.017885701228585016,0.5323695707428717,0.03028334955816591,0.016363670245504225,0.06913109358038685
DrvrVehTyp@Truck or bus,Passenger car,Truck or bus,0.056465560991097515,0.20804264751189483,0.006915780282063022,0.5323695707428717,0.03028334955816591,0.010191412189472102,0.06665697318056962
