,Var base,Var specific,DirectMEonY2,uxForY1,MEonY1,uY1ForY2,MEofY1onY2,IndirectMEonY2,TotalMEonY2
BikeAgeGrp@1,0,1,0.0032214575613202026,0.30649856941188225,-0.03187930121757554,0.5182456326098471,0.009470531145226807,-0.013920518294148754,-0.010699060732828551
BikeAgeGrp@2,0,2,0.006936474325040326,0.30649856941188225,-0.1307912223650705,0.5182456326098471,0.009470531145226807,-0.06611793787174915,-0.05918146354670882
BikeAgeGrp@5,0,5,0.012533086289041664,0.30649856941188225,-0.15213550253346345,0.5182456326098471,0.009470531145226807,-0.07738165952032698,-0.06484857323128532
BikeAgeGrp@4,0,4,0.012438062466914312,0.30649856941188225,-0.15494046358617447,0.5182456326098471,0.009470531145226807,-0.07886188280654605,-0.06642382033963173
BikeAgeGrp@3,0,3,0.010452443973883431,0.30649856941188225,-0.1475458985605882,0.5182456326098471,0.009470531145226807,-0.07495965131860621,-0.06450720734472279
BikeAgeGrp@6,0,6,0.03030439385918486,0.30649856941188225,-0.14763841412689954,0.5182456326098471,0.009470531145226807,-0.07500847327834767,-0.04470407941916281
BikeAgeGrp@7,0,7,0.03330068819481223,0.30649856941188225,-0.14890628072298198,0.5182456326098471,0.009470531145226807,-0.0756775469745855,-0.04237685877977326
BikeSex@Male,Female,Male,-0.006532556908418391,0.19973720663490363,0.0006490206458438508,0.5182456326098471,0.009470531145226807,0.002234116121719004,-0.004298440786699387
BikeSex@Unknown,Female,Unknown,-0.1777083112758089,0.19973720663490363,-0.003668607728957052,0.5182456326098471,0.009470531145226807,-4.4366160750985983e-05,-0.1777526774365599
BikeAlcFlg@Yes,No,Yes,0.03773045703193905,0.19686761072878003,0.03371417857773054,0.5182456326098471,0.009470531145226807,0.019655957822086748,0.0573864148540258
BikeAlcFlg@Missing info,No,Missing info,0.023763631551085636,0.19686761072878003,0.012120938264135434,0.5182456326098471,0.009470531145226807,0.008260855880754925,0.03202448743184056
BikePos@Travel Lane,Sidewalk,Travel Lane,0.027250397035468433,0.16886862537497763,0.032511009856562745,0.5182456326098471,0.009470531145226807,0.018755860977374056,0.046006258012842485
BikePos@Other,Sidewalk,Other,-0.010326892535733566,0.16886862537497763,0.0351706748342534,0.5182456326098471,0.009470531145226807,0.020159409176274692,0.009832516640541127
BikePos@Bike Lane,Sidewalk,Bike Lane,0.020181754014470202,0.16886862537497763,-0.048058673019233375,0.5182456326098471,0.009470531145226807,-0.023762062984803947,-0.0035803089703337447
BikePos@Driveway,Sidewalk,Driveway,0.03415034409740622,0.16886862537497763,0.13461434621492943,0.5182456326098471,0.009470531145226807,0.07263744194700528,0.1067877860444115
DrvrAgeGrp@1,0,1,-0.009022851596965309,0.19793091582848016,0.0022255161461091078,0.5182456326098471,0.009470531145226807,0.0030489517459565546,-0.005973899851008754
DrvrAgeGrp@2,0,2,-0.01112908064231476,0.19793091582848016,0.0028206660112429505,0.5182456326098471,0.009470531145226807,0.003363021949644329,-0.007766058692670431
DrvrAgeGrp@3,0,3,-0.01616649020645817,0.19793091582848016,-0.00012025763190393057,0.5182456326098471,0.009470531145226807,0.0018110490067862611,-0.014355441199671908
