,Var base,Var specific,DirectMEonY2,uxForY1,MEonY1,uY1ForY2,MEofY1onY2,IndirectMEonY2,TotalMEonY2
BikeAgeGrp@1,0,1,0.001656129,0.216726733,-0.010384018,0.521812784,0.00268896,-0.004863666,-0.003207537
BikeAgeGrp@2,0,2,0.003450989,0.216726733,-0.021769383,0.521812784,0.00268896,-0.01083531,-0.007384321
BikeAgeGrp@5,0,5,0.00977165,0.216726733,-0.058981637,0.521812784,0.00268896,-0.030353202,-0.020581552
BikeAgeGrp@4,0,4,0.007500219,0.216726733,-0.046442925,0.521812784,0.00268896,-0.023776626,-0.016276407
BikeAgeGrp@3,0,3,0.005397595,0.216726733,-0.033914003,0.521812784,0.00268896,-0.017205184,-0.011807589
BikeAgeGrp@6,0,6,0.012212705,0.216726733,-0.071156591,0.521812784,0.00268896,-0.036738987,-0.024526282
BikeAgeGrp@7,0,7,0.014830602,0.216726733,-0.082677917,0.521812784,0.00268896,-0.042781942,-0.02795134
BikeSex@Male,Female,Male,-0.007927711,0.180909474,0.00572189,0.521812784,0.00268896,0.003487599,-0.004440111
BikeSex@Unknown,Female,Unknown,-0.29015526,0.180909474,0.00245333,0.521812784,0.00268896,0.001773234,-0.288382026
BikeAlcFlg@Yes,No,Yes,0.007911665,0.182968624,0.029762943,0.521812784,0.00268896,0.016102711,0.024014376
BikeAlcFlg@Missing info,No,Missing info,0.016433235,0.182968624,0.005209479,0.521812784,0.00268896,0.003224376,0.019657611
BikePos@Travel Lane,Sidewalk,Travel Lane,0.013503449,0.184034201,0.007894212,0.521812784,0.00268896,0.004635388,0.018138838
BikePos@Other,Sidewalk,Other,0.011110528,0.184034201,0.019699243,0.521812784,0.00268896,0.010827148,0.021937676
BikePos@Bike Lane,Sidewalk,Bike Lane,0.012968301,0.184034201,-0.032060802,0.521812784,0.00268896,-0.016321086,-0.003352785
BikePos@Driveway,Sidewalk,Driveway,0.015128755,0.184034201,0.039925235,0.521812784,0.00268896,0.021435716,0.03656447
DrvrAgeGrp@1,0,1,-0.0019592,0.182286637,0.001205643,0.521812784,0.00268896,0.001122523,-0.000836677
DrvrAgeGrp@2,0,2,-0.003798945,0.182286637,0.002410151,0.521812784,0.00268896,0.00175429,-0.002044655
DrvrAgeGrp@3,0,3,-0.005526621,0.182286637,0.003607321,0.521812784,0.00268896,0.002382207,-0.003144414
DrvrAgeGrp@4,0,4,-0.007149537,0.182286637,0.004808327,0.521812784,0.00268896,0.003012137,-0.004137399
DrvrAgeGrp@5,0,5,-0.008672796,0.182286637,0.006008392,0.521812784,0.00268896,0.003641573,-0.005031223
DrvrAgeGrp@6,0,6,-0.010103003,0.182286637,0.007199199,0.521812784,0.00268896,0.004266154,-0.005836849
DrvrSex@Male,Female,Male,0.002361452,0.188283849,-0.005155008,0.521812784,0.00268896,-0.002197523,0.000163929
DrvrSex@Unknown,Female,Unknown,0.007521381,0.188283849,0.099811037,0.521812784,0.00268896,0.052857351,0.060378732
DrvrAlcFlg@Yes,No,Yes,0.027479707,0.185782023,-0.017739403,0.521812784,0.00268896,-0.008804787,0.01867492
DrvrAlcFlg@Missing info,No,Missing info,0.010817167,0.185782023,0.002804005,0.521812784,0.00268896,0.001970266,0.012787433
SpeedLimit@2,0,2,0.009848057,0.176207692,0.01043704,0.521812784,0.00268896,0.005948061,0.015796118
SpeedLimit@3,0,3,0.017143104,0.176207692,0.015422731,0.521812784,0.00268896,0.008563065,0.025706169
SpeedLimit@1,0,1,0.004228461,0.176207692,0.00542606,0.521812784,0.00268896,0.003319793,0.007548254
SpeedLimit@4,0,4,0.026386003,0.176207692,0.02102323,0.521812784,0.00268896,0.011500536,0.037886539
SpeedLimit@5,0,5,0.037809758,0.176207692,0.028098508,0.521812784,0.00268896,0.015211532,0.05302129
DrvrVehTyp@SUV,Passenger car,SUV,0.001003042,0.186312696,-0.004332803,0.521812784,0.00268896,-0.001771575,-0.000768533
DrvrVehTyp@Pick up,Passenger car,Pick up,0.003857644,0.186312696,0.001588692,0.521812784,0.00268896,0.001334259,0.005191903
DrvrVehTyp@Van,Passenger car,Van,0.00712175,0.186312696,0.004198624,0.521812784,0.00268896,0.002703173,0.009824923
DrvrVehTyp@Truck or bus,Passenger car,Truck or bus,0.009028677,0.186312696,-0.008457349,0.521812784,0.00268896,-0.003934907,0.00509377
DrvrVehTyp@Other/unknown,Passenger car,Other/unknown,0.000105871,0.186312696,0.005228269,0.521812784,0.00268896,0.003243223,0.003349094
BikeDir@With Traffic,Facing Traffic,With Traffic,0.111997776,0.145423877,-0.018943921,0.521812784,0.00268896,-0.009545081,0.102452695
BikeDir@Other or unknown,Facing Traffic,Other or unknown,0.10876494,0.145423877,0.477217514,0.521812784,0.00268896,0.250692458,0.359457397
CrashLoc@Non-Intersection,Intersection,Non-Intersection,0.002573407,0.245185239,-0.118414971,0.521812784,0.00268896,-0.061449565,-0.058876158
CrashLoc@Intersection-Related,Intersection,Intersection-Related,-0.001945431,0.245185239,-0.081025425,0.521812784,0.00268896,-0.041838683,-0.043784114
CrashLoc@Unknown Location,Intersection,Unknown Location,-0.005238052,0.245185239,-0.145592001,0.521812784,0.00268896,-0.075703965,-0.080942017
Developmen@Commercial,Other,Commercial,-0.003930507,0.185531621,-0.001777494,0.521812784,0.00268896,-0.000433411,-0.004363918
Developmen@Residential,Other,Residential,-0.000680747,0.185531621,0.002397046,0.521812784,0.00268896,0.001756142,0.001075395
LightCond@Dark - Lighted Roadway,Daylight,Dark - Lighted Roadway,0.003905446,0.188587008,-0.001001101,0.521812784,0.00268896,-1.80E-05,0.003887469
LightCond@Dark - Roadway Not Lighted,Daylight,Dark - Roadway Not Lighted,0.005747231,0.188587008,-0.032000038,0.521812784,0.00268896,-0.016276973,-0.010529743
LightCond@Other,Daylight,Other,0.003449422,0.188587008,-0.015333243,0.521812784,0.00268896,-0.00753521,-0.004085788
Locality@Urban (>70% Developed),Mixed (30% To 70% Developed),Urban (>70% Developed),-0.003461118,0.185417305,0.001742648,0.521812784,0.00268896,0.001412601,-0.002048516
Locality@Rural (<30% Developed),Mixed (30% To 70% Developed),Rural (<30% Developed),-0.000834949,0.185417305,-0.012649461,0.521812784,0.00268896,-0.006136085,-0.006971034
NumLanes@1,0,1,0.002124967,0.180699933,0.007994911,0.521812784,0.00268896,0.00467924,0.006804207
NumLanes@2,0,2,0.004316349,0.180699933,0.015734783,0.521812784,0.00268896,0.008738816,0.013055165
RdCharacte@Curve,Straight,Curve,0.005957834,0.186339219,-0.013206023,0.521812784,0.00268896,-0.006425523,-0.000467689
RdCharacte@Other/Unknown,Straight,Other/Unknown,-0.004466147,0.186339219,-0.032263911,0.521812784,0.00268896,-0.016421419,-0.020887567
Level@Level,Grade,Level,-0.005439728,0.192094457,-0.00820439,0.521812784,0.00268896,-0.003786682,-0.00922641
Level@Other/Unknown,Grade,Other/Unknown,-0.005137351,0.192094457,-0.032623222,0.521812784,0.00268896,-0.016594403,-0.021731754
Weather@Clear or cloudy,Other,Clear or cloudy,0.011479593,0.198548291,-0.012889891,0.521812784,0.00268896,-0.006226882,0.005252712
Weather@Inclement,Other,Inclement,0.012537857,0.198548291,-0.01379415,0.521812784,0.00268896,-0.006701167,0.00583669
CrashHour@Afternoon peak,Early morning,Afternoon peak,-0.013168878,0.185528141,0.004864399,0.521812784,0.00268896,0.003050263,-0.010118614
CrashHour@Mid-day,Early morning,Mid-day,-0.011113527,0.185528141,-0.001352051,0.521812784,0.00268896,-0.000210275,-0.011323803
CrashHour@Morning peak,Early morning,Morning peak,-0.015719983,0.185528141,-0.015637752,0.521812784,0.00268896,-0.007703151,-0.023423134
CrashDay@Weekend,Weekday,Weekend,-0.001184647,0.185151906,0.002352226,0.521812784,0.00268896,0.001731612,0.000546966
CrashMonth@Summer,Spring,Summer,-0.004922248,0.187940919,-0.000794925,0.521812784,0.00268896,8.84E-05,-0.004833822
CrashMonth@Fall,Spring,Fall,-0.005994231,0.187940919,-0.004134038,0.521812784,0.00268896,-0.001662944,-0.007657175
CrashMonth@Winter,Spring,Winter,-0.005090207,0.187940919,-0.005775997,0.521812784,0.00268896,-0.002524155,-0.007614362
CrashGrp@Bicyclist failed to yield,Other,Bicyclist failed to yield,0.00268896,,,0.521812784,0.00268896,,
CrashGrp@Motorist failed to yield,Other,Motorist failed to yield,-0.009935625,,,0.521812784,0.00268896,,
CrashGrp@Motorist overtaking,Other,Motorist overtaking,-0.001967082,,,0.521812784,0.00268896,,
CrashGrp@Bicyclist overtaking,Other,Bicyclist overtaking,-0.015196284,,,0.521812784,0.00268896,,
CrashSevr@2,0,2,,,,0.521812784,0.00268896,,
CrashSevr@1,0,1,,,,0.521812784,0.00268896,,
CrashSevr@3,0,3,,,,0.521812784,0.00268896,,
CrashSevr@4,0,4,,,,0.521812784,0.00268896,,
